,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Imp_Embarked_mf,Imp_Age_Mean,Imp_Age_Median,Imp_Age_Rand,Imp_Det_Lin,Imp_Sto_Lin
23,24,1,1,1,28.0,0,0,35.5,1.0,1.0,28.0,28.0,28.0,28.0,28.0
24,25,0,3,0,8.0,3,1,21.075,1.0,1.0,8.0,8.0,8.0,8.0,8.0
25,26,1,3,0,38.0,1,5,31.3875,1.0,1.0,38.0,38.0,38.0,38.0,38.0
26,27,0,3,1,,0,0,7.225,2.0,2.0,29.69911764705882,28.0,6.0,28.130292773792092,28.0
27,28,0,1,1,19.0,3,2,263.0,1.0,1.0,19.0,19.0,19.0,19.0,19.0
28,29,1,3,0,,0,0,7.8792,3.0,3.0,29.69911764705882,28.0,28.0,22.85080838184661,23.0
29,30,0,3,1,,0,0,7.8958,1.0,1.0,29.69911764705882,28.0,48.0,29.046190417633195,29.0
30,31,0,1,1,40.0,0,0,27.7208,2.0,2.0,40.0,40.0,40.0,40.0,40.0
31,32,1,1,0,,1,0,146.5208,2.0,2.0,29.69911764705882,28.0,3.0,31.59150956316541,31.0
32,33,1,3,0,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,3.0,22.851980259751862,23.0
33,34,0,2,1,66.0,0,0,10.5,1.0,1.0,66.0,66.0,66.0,66.0,66.0
34,35,0,1,1,28.0,1,0,82.1708,2.0,2.0,28.0,28.0,28.0,28.0,28.0
35,36,0,1,1,42.0,1,0,52.0,1.0,1.0,42.0,42.0,42.0,42.0,42.0
36,37,1,3,1,,0,0,7.2292,2.0,2.0,29.69911764705882,28.0,12.0,28.13025467868991,29.0
37,38,0,3,1,21.0,0,0,8.05,1.0,1.0,21.0,21.0,21.0,21.0,21.0
38,39,0,3,0,18.0,2,0,18.0,1.0,1.0,18.0,18.0,18.0,18.0,18.0
39,40,1,3,0,14.0,1,0,11.2417,2.0,2.0,14.0,14.0,14.0,14.0,14.0
40,41,0,3,0,40.0,1,0,9.475,1.0,1.0,40.0,40.0,40.0,40.0,40.0
41,42,0,2,0,27.0,1,0,21.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0
42,43,0,3,1,,0,0,7.8958,2.0,2.0,29.69911764705882,28.0,4.0,28.124208441757684,28.0
43,44,1,2,0,3.0,1,2,41.5792,2.0,2.0,3.0,3.0,3.0,3.0,3.0
44,45,1,3,0,19.0,0,0,7.8792,3.0,3.0,19.0,19.0,19.0,19.0,19.0
45,46,0,3,1,,0,0,8.05,1.0,1.0,29.69911764705882,28.0,33.0,29.044791783167327,29.0
46,47,0,3,1,,1,0,15.5,3.0,3.0,29.69911764705882,28.0,39.0,23.0544030358992,23.0
47,48,1,3,0,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,2.0,22.851980259751862,23.0
48,49,0,3,1,,2,0,21.6792,2.0,2.0,29.69911764705882,28.0,19.0,19.841486705746753,19.0
49,50,0,3,0,18.0,1,0,17.8,1.0,1.0,18.0,18.0,18.0,18.0,18.0
50,51,0,3,1,7.0,4,1,39.6875,1.0,1.0,7.0,7.0,7.0,7.0,7.0
51,52,0,3,1,21.0,0,0,7.8,1.0,1.0,21.0,21.0,21.0,21.0,21.0
52,53,1,1,0,49.0,1,0,76.7292,2.0,2.0,49.0,49.0,49.0,49.0,49.0
53,54,1,2,0,29.0,1,0,26.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0
54,55,0,1,1,65.0,0,1,61.9792,2.0,2.0,65.0,65.0,65.0,65.0,65.0
55,56,1,1,1,,0,0,35.5,1.0,1.0,29.69911764705882,28.0,63.0,41.950899320473276,42.0
56,57,1,2,0,21.0,0,0,10.5,1.0,1.0,21.0,21.0,21.0,21.0,21.0
57,58,0,3,1,28.5,0,0,7.2292,2.0,2.0,28.5,28.5,28.5,28.5,28.5
58,59,1,2,0,5.0,1,2,27.75,1.0,1.0,5.0,5.0,5.0,5.0,5.0
59,60,0,3,1,11.0,5,2,46.9,1.0,1.0,11.0,11.0,11.0,11.0,11.0
60,61,0,3,1,22.0,0,0,7.2292,2.0,2.0,22.0,22.0,22.0,22.0,22.0
61,62,1,1,0,38.0,0,0,80.0,,1.0,38.0,38.0,38.0,38.0,38.0
62,63,0,1,1,45.0,1,0,83.475,1.0,1.0,45.0,45.0,45.0,45.0,45.0
63,64,0,3,1,4.0,3,2,27.9,1.0,1.0,4.0,4.0,4.0,4.0,4.0
64,65,0,1,1,,0,0,27.7208,2.0,2.0,29.69911764705882,28.0,49.0,41.09947673005104,41.0
65,66,1,3,1,,1,1,15.2458,2.0,2.0,29.69911764705882,28.0,29.0,23.38464652405075,23.0
66,67,1,2,0,29.0,0,0,10.5,1.0,1.0,29.0,29.0,29.0,29.0,29.0
67,68,0,3,1,19.0,0,0,8.1583,1.0,1.0,19.0,19.0,19.0,19.0,19.0
68,69,1,3,0,17.0,4,2,7.925,1.0,1.0,17.0,17.0,17.0,17.0,17.0
69,70,0,3,1,26.0,2,0,8.6625,1.0,1.0,26.0,26.0,26.0,26.0,26.0
70,71,0,2,1,32.0,0,0,10.5,1.0,1.0,32.0,32.0,32.0,32.0,32.0
71,72,0,3,0,16.0,5,2,46.9,1.0,1.0,16.0,16.0,16.0,16.0,16.0
72,73,0,2,1,21.0,0,0,73.5,1.0,1.0,21.0,21.0,21.0,21.0,21.0
73,74,0,3,1,26.0,1,0,14.4542,2.0,2.0,26.0,26.0,26.0,26.0,26.0
74,75,1,3,1,32.0,0,0,56.4958,1.0,1.0,32.0,32.0,32.0,32.0,32.0
75,76,0,3,1,25.0,0,0,7.65,1.0,1.0,25.0,25.0,25.0,25.0,25.0
76,77,0,3,1,,0,0,7.8958,1.0,1.0,29.69911764705882,28.0,63.0,29.046190417633195,29.0
77,78,0,3,1,,0,0,8.05,1.0,1.0,29.69911764705882,28.0,23.0,29.044791783167327,30.0
78,79,1,2,1,0.83,0,2,29.0,1.0,1.0,0.83,0.83,0.83,0.83,0.83
79,80,1,3,0,30.0,0,0,12.475,1.0,1.0,30.0,30.0,30.0,30.0,30.0
80,81,0,3,1,22.0,0,0,9.0,1.0,1.0,22.0,22.0,22.0,22.0,22.0
81,82,1,3,1,29.0,0,0,9.5,1.0,1.0,29.0,29.0,29.0,29.0,29.0
82,83,1,3,0,,0,0,7.7875,3.0,3.0,29.69911764705882,28.0,0.0,22.85164012491094,22.0
83,84,0,1,1,28.0,0,0,47.1,1.0,1.0,28.0,28.0,28.0,28.0,28.0
84,85,1,2,0,17.0,0,0,10.5,1.0,1.0,17.0,17.0,17.0,17.0,17.0
85,86,1,3,0,33.0,3,0,15.85,1.0,1.0,33.0,33.0,33.0,33.0,33.0
86,87,0,3,1,16.0,1,3,34.375,1.0,1.0,16.0,16.0,16.0,16.0,16.0
87,88,0,3,1,,0,0,8.05,1.0,1.0,29.69911764705882,28.0,20.0,29.044791783167327,29.0
88,89,1,1,0,23.0,3,2,263.0,1.0,1.0,23.0,23.0,23.0,23.0,23.0
89,90,0,3,1,24.0,0,0,8.05,1.0,1.0,24.0,24.0,24.0,24.0,24.0
90,91,0,3,1,29.0,0,0,8.05,1.0,1.0,29.0,29.0,29.0,29.0,29.0
91,92,0,3,1,20.0,0,0,7.8542,1.0,1.0,20.0,20.0,20.0,20.0,20.0
92,93,0,1,1,46.0,1,0,61.175,1.0,1.0,46.0,46.0,46.0,46.0,46.0
93,94,0,3,1,26.0,1,2,20.575,1.0,1.0,26.0,26.0,26.0,26.0,26.0
94,95,0,3,1,59.0,0,0,7.25,1.0,1.0,59.0,59.0,59.0,59.0,59.0
95,96,0,3,1,,0,0,8.05,1.0,1.0,29.69911764705882,28.0,72.0,29.044791783167327,29.0
96,97,0,1,1,71.0,0,0,34.6542,2.0,2.0,71.0,71.0,71.0,71.0,71.0
97,98,1,1,1,23.0,0,1,63.3583,2.0,2.0,23.0,23.0,23.0,23.0,23.0
98,99,1,2,0,34.0,0,1,23.0,1.0,1.0,34.0,34.0,34.0,34.0,34.0
99,100,0,2,1,34.0,1,0,26.0,1.0,1.0,34.0,34.0,34.0,34.0,34.0
100,101,0,3,0,28.0,0,0,7.8958,1.0,1.0,28.0,28.0,28.0,28.0,28.0
101,102,0,3,1,,0,0,7.8958,1.0,1.0,29.69911764705882,28.0,12.0,29.046190417633195,30.0
102,103,0,1,1,21.0,0,1,77.2875,1.0,1.0,21.0,21.0,21.0,21.0,21.0
103,104,0,3,1,33.0,0,0,8.6542,1.0,1.0,33.0,33.0,33.0,33.0,33.0
104,105,0,3,1,37.0,2,0,7.925,1.0,1.0,37.0,37.0,37.0,37.0,37.0
105,106,0,3,1,28.0,0,0,7.8958,1.0,1.0,28.0,28.0,28.0,28.0,28.0
106,107,1,3,0,21.0,0,0,7.65,1.0,1.0,21.0,21.0,21.0,21.0,21.0
107,108,1,3,1,,0,0,7.775,1.0,1.0,29.69911764705882,28.0,35.0,29.047286105334084,29.0
108,109,0,3,1,38.0,0,0,7.8958,1.0,1.0,38.0,38.0,38.0,38.0,38.0
109,110,1,3,0,,1,0,24.15,3.0,3.0,29.69911764705882,28.0,14.0,18.62437661553479,18.0
110,111,0,1,1,47.0,0,0,52.0,1.0,1.0,47.0,47.0,47.0,47.0,47.0
111,112,0,3,0,14.5,1,0,14.4542,2.0,2.0,14.5,14.5,14.5,14.5,14.5
112,113,0,3,1,22.0,0,0,8.05,1.0,1.0,22.0,22.0,22.0,22.0,22.0
113,114,0,3,0,20.0,1,0,9.825,1.0,1.0,20.0,20.0,20.0,20.0,20.0
114,115,0,3,0,17.0,0,0,14.4583,2.0,2.0,17.0,17.0,17.0,17.0,17.0
115,116,0,3,1,21.0,0,0,7.925,1.0,1.0,21.0,21.0,21.0,21.0,21.0
116,117,0,3,1,70.5,0,0,7.75,3.0,3.0,70.5,70.5,70.5,70.5,70.5
117,118,0,2,1,29.0,1,0,21.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0
118,119,0,1,1,24.0,0,1,247.5208,2.0,2.0,24.0,24.0,24.0,24.0,24.0
119,120,0,3,0,2.0,4,2,31.275,1.0,1.0,2.0,2.0,2.0,2.0,2.0
120,121,0,2,1,21.0,2,0,73.5,1.0,1.0,21.0,21.0,21.0,21.0,21.0
121,122,0,3,1,,0,0,8.05,1.0,1.0,29.69911764705882,28.0,32.0,29.044791783167327,30.0
122,123,0,2,1,32.5,1,0,30.0708,2.0,2.0,32.5,32.5,32.5,32.5,32.5
123,124,1,2,0,32.5,0,0,13.0,1.0,1.0,32.5,32.5,32.5,32.5,32.5
124,125,0,1,1,54.0,0,1,77.2875,1.0,1.0,54.0,54.0,54.0,54.0,54.0
125,126,1,3,1,12.0,1,0,11.2417,2.0,2.0,12.0,12.0,12.0,12.0,12.0
126,127,0,3,1,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,60.0,27.203548910143677,27.0
127,128,1,3,1,24.0,0,0,7.1417,1.0,1.0,24.0,24.0,24.0,24.0,24.0
128,129,1,3,0,,1,1,22.3583,2.0,2.0,29.69911764705882,28.0,77.0,18.96856563216413,19.0
129,130,0,3,1,45.0,0,0,6.975,1.0,1.0,45.0,45.0,45.0,45.0,45.0
130,131,0,3,1,33.0,0,0,7.8958,2.0,2.0,33.0,33.0,33.0,33.0,33.0
131,132,0,3,1,20.0,0,0,7.05,1.0,1.0,20.0,20.0,20.0,20.0,20.0
132,133,0,3,0,47.0,1,0,14.5,1.0,1.0,47.0,47.0,47.0,47.0,47.0
133,134,1,2,0,29.0,1,0,26.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0
134,135,0,2,1,25.0,0,0,13.0,1.0,1.0,25.0,25.0,25.0,25.0,25.0
135,136,0,2,1,23.0,0,0,15.0458,2.0,2.0,23.0,23.0,23.0,23.0,23.0
136,137,1,1,0,19.0,0,2,26.2833,1.0,1.0,19.0,19.0,19.0,19.0,19.0
137,138,0,1,1,37.0,1,0,53.1,1.0,1.0,37.0,37.0,37.0,37.0,37.0
138,139,0,3,1,16.0,0,0,9.2167,1.0,1.0,16.0,16.0,16.0,16.0,16.0
139,140,0,1,1,24.0,0,0,79.2,2.0,2.0,24.0,24.0,24.0,24.0,24.0
140,141,0,3,0,,0,2,15.2458,2.0,2.0,29.69911764705882,28.0,80.0,22.51788506568065,21.0
141,142,1,3,0,22.0,0,0,7.75,1.0,1.0,22.0,22.0,22.0,22.0,22.0
142,143,1,3,0,24.0,1,0,15.85,1.0,1.0,24.0,24.0,24.0,24.0,24.0
143,144,0,3,1,19.0,0,0,6.75,3.0,3.0,19.0,19.0,19.0,19.0,19.0
144,145,0,2,1,18.0,0,0,11.5,1.0,1.0,18.0,18.0,18.0,18.0,18.0
145,146,0,2,1,19.0,1,1,36.75,1.0,1.0,19.0,19.0,19.0,19.0,19.0
146,147,1,3,1,27.0,0,0,7.7958,1.0,1.0,27.0,27.0,27.0,27.0,27.0
147,148,0,3,0,9.0,2,2,34.375,1.0,1.0,9.0,9.0,9.0,9.0,9.0
148,149,0,2,1,36.5,0,2,26.0,1.0,1.0,36.5,36.5,36.5,36.5,36.5
149,150,0,2,1,42.0,0,0,13.0,1.0,1.0,42.0,42.0,42.0,42.0,42.0
150,151,0,2,1,51.0,0,0,12.525,1.0,1.0,51.0,51.0,51.0,51.0,51.0
151,152,1,1,0,22.0,1,0,66.6,1.0,1.0,22.0,22.0,22.0,22.0,22.0
152,153,0,3,1,55.5,0,0,8.05,1.0,1.0,55.5,55.5,55.5,55.5,55.5
153,154,0,3,1,40.5,0,2,14.5,1.0,1.0,40.5,40.5,40.5,40.5,40.5
154,155,0,3,1,,0,0,7.3125,1.0,1.0,29.69911764705882,28.0,41.0,29.051481101705452,29.0
155,156,0,1,1,51.0,0,1,61.3792,2.0,2.0,51.0,51.0,51.0,51.0,51.0
156,157,1,3,0,16.0,0,0,7.7333,3.0,3.0,16.0,16.0,16.0,16.0,16.0
157,158,0,3,1,30.0,0,0,8.05,1.0,1.0,30.0,30.0,30.0,30.0,30.0
158,159,0,3,1,,0,0,8.6625,1.0,1.0,29.69911764705882,28.0,64.0,29.03923624743227,29.0
159,160,0,3,1,,8,2,69.55,1.0,1.0,29.69911764705882,28.0,15.0,-5.331928376440793,-5.0
160,161,0,3,1,44.0,0,1,16.1,1.0,1.0,44.0,44.0,44.0,44.0,44.0
161,162,1,2,0,40.0,0,0,15.75,1.0,1.0,40.0,40.0,40.0,40.0,40.0
162,163,0,3,1,26.0,0,0,7.775,1.0,1.0,26.0,26.0,26.0,26.0,26.0
163,164,0,3,1,17.0,0,0,8.6625,1.0,1.0,17.0,17.0,17.0,17.0,17.0
164,165,0,3,1,1.0,4,1,39.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
165,166,1,3,1,9.0,0,2,20.525,1.0,1.0,9.0,9.0,9.0,9.0,9.0
166,167,1,1,0,,0,1,55.0,1.0,1.0,29.69911764705882,28.0,3.0,36.82841640436992,37.0
167,168,0,3,0,45.0,1,4,27.9,1.0,1.0,45.0,45.0,45.0,45.0,45.0
168,169,0,1,1,,0,0,25.925,1.0,1.0,29.69911764705882,28.0,38.0,42.037747083188606,42.0
169,170,0,3,1,28.0,0,0,56.4958,1.0,1.0,28.0,28.0,28.0,28.0,28.0
170,171,0,1,1,61.0,0,0,33.5,1.0,1.0,61.0,61.0,61.0,61.0,61.0
171,172,0,3,1,4.0,4,1,29.125,3.0,3.0,4.0,4.0,4.0,4.0,4.0
172,173,1,3,0,1.0,1,1,11.1333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,174,0,3,1,21.0,0,0,7.925,1.0,1.0,21.0,21.0,21.0,21.0,21.0
174,175,0,1,1,56.0,0,0,30.6958,2.0,2.0,56.0,56.0,56.0,56.0,56.0
175,176,0,3,1,18.0,1,1,7.8542,1.0,1.0,18.0,18.0,18.0,18.0,18.0
176,177,0,3,1,,3,1,25.4667,1.0,1.0,29.69911764705882,28.0,46.0,16.05621957380289,16.0
177,178,0,1,0,50.0,0,0,28.7125,2.0,2.0,50.0,50.0,50.0,50.0,50.0
178,179,0,2,1,30.0,0,0,13.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0
179,180,0,3,1,36.0,0,0,0.0,1.0,1.0,36.0,36.0,36.0,36.0,36.0
180,181,0,3,0,,8,2,69.55,1.0,1.0,29.69911764705882,28.0,37.0,-9.683497026832605,-10.0
181,182,0,2,1,,0,0,15.05,2.0,2.0,29.69911764705882,28.0,62.0,34.636861090750074,34.0
182,183,0,3,1,9.0,4,2,31.3875,1.0,1.0,9.0,9.0,9.0,9.0,9.0
183,184,1,2,1,1.0,2,1,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,185,1,3,0,4.0,0,2,22.025,1.0,1.0,4.0,4.0,4.0,4.0,4.0
185,186,0,1,1,,0,0,50.0,1.0,1.0,29.69911764705882,28.0,19.0,41.8193805153169,42.0
186,187,1,3,0,,1,0,15.5,3.0,3.0,29.69911764705882,28.0,6.0,18.702834385507387,18.0
187,188,1,1,1,45.0,0,0,26.55,1.0,1.0,45.0,45.0,45.0,45.0,45.0
188,189,0,3,1,40.0,1,1,15.5,3.0,3.0,40.0,40.0,40.0,40.0,40.0
189,190,0,3,1,36.0,0,0,7.8958,1.0,1.0,36.0,36.0,36.0,36.0,36.0
190,191,1,2,0,32.0,0,0,13.0,1.0,1.0,32.0,32.0,32.0,32.0,32.0
191,192,0,2,1,19.0,0,0,13.0,1.0,1.0,19.0,19.0,19.0,19.0,19.0
192,193,1,3,0,19.0,1,0,7.8542,1.0,1.0,19.0,19.0,19.0,19.0,19.0
193,194,1,2,1,3.0,1,1,26.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
194,195,1,1,0,44.0,0,0,27.7208,2.0,2.0,44.0,44.0,44.0,44.0,44.0
195,196,1,1,0,58.0,0,0,146.5208,2.0,2.0,58.0,58.0,58.0,58.0,58.0
196,197,0,3,1,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,71.0,27.203548910143677,27.0
197,198,0,3,1,42.0,0,1,8.4042,1.0,1.0,42.0,42.0,42.0,42.0,42.0
198,199,1,3,0,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,1.0,22.851980259751862,23.0
199,200,0,2,0,24.0,0,0,13.0,1.0,1.0,24.0,24.0,24.0,24.0,24.0
200,201,0,3,1,28.0,0,0,9.5,1.0,1.0,28.0,28.0,28.0,28.0,28.0
201,202,0,3,1,,8,2,69.55,1.0,1.0,29.69911764705882,28.0,15.0,-5.331928376440793,-5.0
202,203,0,3,1,34.0,0,0,6.4958,1.0,1.0,34.0,34.0,34.0,34.0,34.0
203,204,0,3,1,45.5,0,0,7.225,2.0,2.0,45.5,45.5,45.5,45.5,45.5
204,205,1,3,1,18.0,0,0,8.05,1.0,1.0,18.0,18.0,18.0,18.0,18.0
205,206,0,3,0,2.0,0,1,10.4625,1.0,1.0,2.0,2.0,2.0,2.0,2.0
206,207,0,3,1,32.0,1,0,15.85,1.0,1.0,32.0,32.0,32.0,32.0,32.0
207,208,1,3,1,26.0,0,0,18.7875,2.0,2.0,26.0,26.0,26.0,26.0,26.0
208,209,1,3,0,16.0,0,0,7.75,3.0,3.0,16.0,16.0,16.0,16.0,16.0
209,210,1,1,1,40.0,0,0,31.0,2.0,2.0,40.0,40.0,40.0,40.0,40.0
210,211,0,3,1,24.0,0,0,7.05,1.0,1.0,24.0,24.0,24.0,24.0,24.0
211,212,1,2,0,35.0,0,0,21.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0
212,213,0,3,1,22.0,0,0,7.25,1.0,1.0,22.0,22.0,22.0,22.0,22.0
213,214,0,2,1,30.0,0,0,13.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0
214,215,0,3,1,,1,0,7.75,3.0,3.0,29.69911764705882,28.0,49.0,23.124697569689673,23.0
215,216,1,1,0,31.0,1,0,113.275,2.0,2.0,31.0,31.0,31.0,31.0,31.0
216,217,1,3,0,27.0,0,0,7.925,1.0,1.0,27.0,27.0,27.0,27.0,27.0
217,218,0,2,1,42.0,1,0,27.0,1.0,1.0,42.0,42.0,42.0,42.0,42.0
218,219,1,1,0,32.0,0,0,76.2917,2.0,2.0,32.0,32.0,32.0,32.0,32.0
219,220,0,2,1,30.0,0,0,10.5,1.0,1.0,30.0,30.0,30.0,30.0,30.0
220,221,1,3,1,16.0,0,0,8.05,1.0,1.0,16.0,16.0,16.0,16.0,16.0
221,222,0,2,1,27.0,0,0,13.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0
222,223,0,3,1,51.0,0,0,8.05,1.0,1.0,51.0,51.0,51.0,51.0,51.0
223,224,0,3,1,,0,0,7.8958,1.0,1.0,29.69911764705882,28.0,0.0,29.046190417633195,29.0
224,225,1,1,1,38.0,1,0,90.0,1.0,1.0,38.0,38.0,38.0,38.0,38.0
225,226,0,3,1,22.0,0,0,9.35,1.0,1.0,22.0,22.0,22.0,22.0,22.0
226,227,1,2,1,19.0,0,0,10.5,1.0,1.0,19.0,19.0,19.0,19.0,19.0
227,228,0,3,1,20.5,0,0,7.25,1.0,1.0,20.5,20.5,20.5,20.5,20.5
228,229,0,2,1,18.0,0,0,13.0,1.0,1.0,18.0,18.0,18.0,18.0,18.0
229,230,0,3,0,,3,1,25.4667,1.0,1.0,29.69911764705882,28.0,29.0,11.704650923411073,12.0
230,231,1,1,0,35.0,1,0,83.475,1.0,1.0,35.0,35.0,35.0,35.0,35.0
231,232,0,3,1,29.0,0,0,7.775,1.0,1.0,29.0,29.0,29.0,29.0,29.0
232,233,0,2,1,59.0,0,0,13.5,1.0,1.0,59.0,59.0,59.0,59.0,59.0
233,234,1,3,0,5.0,4,2,31.3875,1.0,1.0,5.0,5.0,5.0,5.0,5.0
234,235,0,2,1,24.0,0,0,10.5,1.0,1.0,24.0,24.0,24.0,24.0,24.0
235,236,0,3,0,,0,0,7.55,1.0,1.0,29.69911764705882,28.0,45.0,24.697758263987804,25.0
236,237,0,2,1,44.0,1,0,26.0,1.0,1.0,44.0,44.0,44.0,44.0,44.0
237,238,1,2,0,8.0,0,2,26.25,1.0,1.0,8.0,8.0,8.0,8.0,8.0
238,239,0,2,1,19.0,0,0,10.5,1.0,1.0,19.0,19.0,19.0,19.0,19.0
239,240,0,2,1,33.0,0,0,12.275,1.0,1.0,33.0,33.0,33.0,33.0,33.0
240,241,0,3,0,,1,0,14.4542,2.0,2.0,29.69911764705882,28.0,51.0,19.634302041826523,19.0
241,242,1,3,0,,1,0,15.5,3.0,3.0,29.69911764705882,28.0,68.0,18.702834385507387,18.0
242,243,0,2,1,29.0,0,0,10.5,1.0,1.0,29.0,29.0,29.0,29.0,29.0
243,244,0,3,1,22.0,0,0,7.125,1.0,1.0,22.0,22.0,22.0,22.0,22.0
244,245,0,3,1,30.0,0,0,7.225,2.0,2.0,30.0,30.0,30.0,30.0,30.0
245,246,0,1,1,44.0,2,0,90.0,3.0,3.0,44.0,44.0,44.0,44.0,44.0
246,247,0,3,0,25.0,0,0,7.775,1.0,1.0,25.0,25.0,25.0,25.0,25.0
247,248,1,2,0,24.0,0,2,14.5,1.0,1.0,24.0,24.0,24.0,24.0,24.0
248,249,1,1,1,37.0,1,1,52.5542,1.0,1.0,37.0,37.0,37.0,37.0,37.0
249,250,0,2,1,54.0,1,0,26.0,1.0,1.0,54.0,54.0,54.0,54.0,54.0
250,251,0,3,1,,0,0,7.25,1.0,1.0,29.69911764705882,28.0,32.0,29.05204799310699,30.0
251,252,0,3,0,29.0,1,1,10.4625,1.0,1.0,29.0,29.0,29.0,29.0,29.0
252,253,0,1,1,62.0,0,0,26.55,1.0,1.0,62.0,62.0,62.0,62.0,62.0
253,254,0,3,1,30.0,1,0,16.1,1.0,1.0,30.0,30.0,30.0,30.0,30.0
254,255,0,3,0,41.0,0,2,20.2125,1.0,1.0,41.0,41.0,41.0,41.0,41.0
255,256,1,3,0,29.0,0,2,15.2458,2.0,2.0,29.0,29.0,29.0,29.0,29.0
256,257,1,1,0,,0,0,79.2,2.0,2.0,29.69911764705882,28.0,50.0,36.28097822625192,35.0
257,258,1,1,0,30.0,0,0,86.5,1.0,1.0,30.0,30.0,30.0,30.0,30.0
258,259,1,1,0,35.0,0,0,512.3292,2.0,2.0,35.0,35.0,35.0,35.0,35.0
259,260,1,2,0,50.0,0,1,26.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0
260,261,0,3,1,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,75.0,27.203548910143677,27.0
261,262,1,3,1,3.0,4,2,31.3875,1.0,1.0,3.0,3.0,3.0,3.0,3.0
262,263,0,1,1,52.0,1,1,79.65,1.0,1.0,52.0,52.0,52.0,52.0,52.0
263,264,0,1,1,40.0,0,0,0.0,1.0,1.0,40.0,40.0,40.0,40.0,40.0
264,265,0,3,0,,0,0,7.75,3.0,3.0,29.69911764705882,28.0,72.0,22.851980259751862,23.0
265,266,0,2,1,36.0,0,0,10.5,1.0,1.0,36.0,36.0,36.0,36.0,36.0
266,267,0,3,1,16.0,4,1,39.6875,1.0,1.0,16.0,16.0,16.0,16.0,16.0
267,268,1,3,1,25.0,1,0,7.775,1.0,1.0,25.0,25.0,25.0,25.0,25.0
